Country,State,District,Category,Sub_Category,Year,Total_Crimes
Malaysia,Johor,Johor Bahru Utara,assault,causing_injury,1/1/2022,53
Malaysia,Johor,Johor Bahru Utara,assault,causing_injury,1/1/2023,60
Malaysia,Johor,Johor Bahru Utara,assault,murder,1/1/2021,0
Malaysia,Johor,Johor Bahru Utara,assault,murder,1/1/2022,4
Malaysia,Johor,Johor Bahru Utara,assault,murder,1/1/2023,4
Malaysia,Johor,Johor Bahru Utara,assault,rape,1/1/2021,19
Malaysia,Johor,Johor Bahru Utara,assault,rape,1/1/2022,10
Malaysia,Johor,Johor Bahru Utara,assault,rape,1/1/2023,24
Malaysia,Johor,Johor Bahru Utara,assault,robbery_gang_armed,1/1/2021,0
Malaysia,Johor,Johor Bahru Utara,assault,robbery_gang_armed,1/1/2022,0
Malaysia,Johor,Johor Bahru Utara,assault,robbery_gang_armed,1/1/2023,0
Malaysia,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,1/1/2021,64
Malaysia,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,1/1/2022,61
Malaysia,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,1/1/2023,43
Malaysia,Johor,Johor Bahru Utara,assault,robbery_solo_armed,1/1/2021,0
Malaysia,Johor,Johor Bahru Utara,assault,robbery_solo_armed,1/1/2022,0
Malaysia,Johor,Johor Bahru Utara,assault,robbery_solo_armed,1/1/2023,0
Malaysia,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,1/1/2021,22
Malaysia,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,1/1/2022,20
Malaysia,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,1/1/2023,27
Malaysia,Johor,Johor Bahru Utara,property,all,1/1/2021,385
Malaysia,Johor,Johor Bahru Utara,property,all,1/1/2022,354
Malaysia,Johor,Johor Bahru Utara,property,all,1/1/2023,387
Malaysia,Johor,Johor Bahru Utara,property,break_in,1/1/2021,91
Malaysia,Johor,Johor Bahru Utara,property,break_in,1/1/2022,53
Malaysia,Johor,Johor Bahru Utara,property,break_in,1/1/2023,53
Malaysia,Johor,Johor Bahru Utara,property,theft_other,1/1/2021,86
Malaysia,Johor,Johor Bahru Utara,property,theft_other,1/1/2022,51
Malaysia,Johor,Johor Bahru Utara,property,theft_other,1/1/2023,87
Malaysia,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,1/1/2021,8
Malaysia,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,1/1/2022,15
Malaysia,Johor,Johor Bahru Utara,property,theft_vehicle_lorry,1/1/2023,8
Malaysia,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,1/1/2021,77
Malaysia,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,1/1/2022,74
Malaysia,Johor,Johor Bahru Utara,property,theft_vehicle_motorcar,1/1/2023,65
Malaysia,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,1/1/2021,123
Malaysia,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,1/1/2022,161
Malaysia,Johor,Johor Bahru Utara,property,theft_vehicle_motorcycle,1/1/2023,174
Malaysia,Johor,Kluang,assault,all,1/1/2021,80
Malaysia,Johor,Kluang,assault,all,1/1/2022,66
Malaysia,Johor,Kluang,assault,all,1/1/2023,70
Malaysia,Johor,Kluang,assault,causing_injury,1/1/2021,39
Malaysia,Johor,Kluang,assault,causing_injury,1/1/2022,29
Malaysia,Johor,Kluang,assault,causing_injury,1/1/2023,21
Malaysia,Johor,Kluang,assault,murder,1/1/2021,3
Malaysia,Johor,Kluang,assault,murder,1/1/2022,1
Malaysia,Johor,Kluang,assault,murder,1/1/2023,4
Malaysia,Johor,Kluang,assault,rape,1/1/2021,12
Malaysia,Johor,Kluang,assault,rape,1/1/2022,9
Malaysia,Johor,Kluang,assault,rape,1/1/2023,14
Malaysia,Johor,Kluang,assault,robbery_gang_armed,1/1/2021,0
Malaysia,Johor,Kluang,assault,robbery_gang_armed,1/1/2022,0
Malaysia,Johor,Kluang,assault,robbery_gang_armed,1/1/2023,0
Malaysia,Johor,Kluang,assault,robbery_gang_unarmed,1/1/2021,15
Malaysia,Johor,Kluang,assault,robbery_gang_unarmed,1/1/2022,16
Malaysia,Johor,Kluang,assault,robbery_gang_unarmed,1/1/2023,27
Malaysia,Johor,Kluang,assault,robbery_solo_armed,1/1/2021,0
Malaysia,Johor,Kluang,assault,robbery_solo_armed,1/1/2022,0
Malaysia,Johor,Kluang,assault,robbery_solo_armed,1/1/2023,0
Malaysia,Johor,Kluang,assault,robbery_solo_unarmed,1/1/2021,11
Malaysia,Johor,Kluang,assault,robbery_solo_unarmed,1/1/2022,11
Malaysia,Johor,Kluang,assault,robbery_solo_unarmed,1/1/2023,4
Malaysia,Johor,Kluang,property,all,1/1/2021,221
Malaysia,Johor,Kluang,property,all,1/1/2022,204
Malaysia,Johor,Kluang,property,all,1/1/2023,294
Malaysia,Johor,Kluang,property,break_in,1/1/2021,62
Malaysia,Johor,Kluang,property,break_in,1/1/2022,30
Malaysia,Johor,Kluang,property,break_in,1/1/2023,81
Malaysia,Johor,Kluang,property,theft_other,1/1/2021,77
Malaysia,Johor,Kluang,property,theft_other,1/1/2022,71
Malaysia,Johor,Kluang,property,theft_other,1/1/2023,90
Malaysia,Johor,Kluang,property,theft_vehicle_lorry,1/1/2021,2
Malaysia,Johor,Kluang,property,theft_vehicle_lorry,1/1/2022,4
Malaysia,Johor,Kluang,property,theft_vehicle_lorry,1/1/2023,6
Malaysia,Johor,Kluang,property,theft_vehicle_motorcar,1/1/2021,12
Malaysia,Johor,Kluang,property,theft_vehicle_motorcar,1/1/2022,15
Malaysia,Johor,Kluang,property,theft_vehicle_motorcar,1/1/2023,13
Malaysia,Johor,Kluang,property,theft_vehicle_motorcycle,1/1/2021,68
Malaysia,Johor,Kluang,property,theft_vehicle_motorcycle,1/1/2022,84
Malaysia,Johor,Kluang,property,theft_vehicle_motorcycle,1/1/2023,104
Malaysia,Johor,Kota Tinggi,assault,all,1/1/2021,37
Malaysia,Johor,Kota Tinggi,assault,all,1/1/2022,40
Malaysia,Johor,Kota Tinggi,assault,all,1/1/2023,41
Malaysia,Johor,Kota Tinggi,assault,causing_injury,1/1/2021,18
Malaysia,Johor,Kota Tinggi,assault,causing_injury,1/1/2022,18
Malaysia,Johor,Kota Tinggi,assault,causing_injury,1/1/2023,17
Malaysia,Johor,Kota Tinggi,assault,murder,1/1/2021,1
Malaysia,Johor,Kota Tinggi,assault,murder,1/1/2022,2
Malaysia,Johor,Kota Tinggi,assault,murder,1/1/2023,0
Malaysia,Johor,Kota Tinggi,assault,rape,1/1/2021,6
Malaysia,Johor,Kota Tinggi,assault,rape,1/1/2022,15
Malaysia,Johor,Kota Tinggi,assault,rape,1/1/2023,14
Malaysia,Johor,Kota Tinggi,assault,robbery_gang_armed,1/1/2021,0
Malaysia,Johor,Kota Tinggi,assault,robbery_gang_armed,1/1/2022,0
Malaysia,Johor,Kota Tinggi,assault,robbery_gang_armed,1/1/2023,0
Malaysia,Johor,Kota Tinggi,assault,robbery_gang_unarmed,1/1/2021,5
Malaysia,Johor,Kota Tinggi,assault,robbery_gang_unarmed,1/1/2022,4
Malaysia,Johor,Kota Tinggi,assault,robbery_gang_unarmed,1/1/2023,6
Malaysia,Johor,Kota Tinggi,assault,robbery_solo_armed,1/1/2021,0
Malaysia,Johor,Kota Tinggi,assault,robbery_solo_armed,1/1/2022,0
Malaysia,Johor,Kota Tinggi,assault,robbery_solo_armed,1/1/2023,0
Malaysia,Johor,Kota Tinggi,assault,robbery_solo_unarmed,1/1/2021,7
Malaysia,Johor,Kota Tinggi,assault,robbery_solo_unarmed,1/1/2022,1
Malaysia,Johor,Kota Tinggi,assault,robbery_solo_unarmed,1/1/2023,4
Malaysia,Johor,Kota Tinggi,property,all,1/1/2021,186
Malaysia,Johor,Kota Tinggi,property,all,1/1/2022,169
Malaysia,Johor,Kota Tinggi,property,all,1/1/2023,209
Malaysia,Johor,Kota Tinggi,property,break_in,1/1/2021,49
Malaysia,Johor,Kota Tinggi,property,break_in,1/1/2022,44
Malaysia,Johor,Kota Tinggi,property,break_in,1/1/2023,31
Malaysia,Johor,Kota Tinggi,property,theft_other,1/1/2021,54
Malaysia,Johor,Kota Tinggi,property,theft_other,1/1/2022,54
Malaysia,Johor,Kota Tinggi,property,theft_other,1/1/2023,76
Malaysia,Johor,Kota Tinggi,property,theft_vehicle_lorry,1/1/2021,1
Malaysia,Johor,Kota Tinggi,property,theft_vehicle_lorry,1/1/2022,3
Malaysia,Johor,Kota Tinggi,property,theft_vehicle_lorry,1/1/2023,4
Malaysia,Johor,Kota Tinggi,property,theft_vehicle_motorcar,1/1/2021,11
Malaysia,Johor,Kota Tinggi,property,theft_vehicle_motorcar,1/1/2022,15
Malaysia,Johor,Kota Tinggi,property,theft_vehicle_motorcar,1/1/2023,24
Malaysia,Johor,Kota Tinggi,property,theft_vehicle_motorcycle,1/1/2021,71
Malaysia,Johor,Kota Tinggi,property,theft_vehicle_motorcycle,1/1/2022,53
Malaysia,Johor,Kota Tinggi,property,theft_vehicle_motorcycle,1/1/2023,74
Malaysia,Johor,Kulaijaya,assault,all,1/1/2021,66
Malaysia,Johor,Kulaijaya,assault,all,1/1/2022,79
Malaysia,Johor,Kulaijaya,assault,all,1/1/2023,86
Malaysia,Johor,Kulaijaya,assault,causing_injury,1/1/2021,18
Malaysia,Johor,Kulaijaya,assault,causing_injury,1/1/2022,21
Malaysia,Johor,Kulaijaya,assault,causing_injury,1/1/2023,25
Malaysia,Johor,Kulaijaya,assault,murder,1/1/2021,5
Malaysia,Johor,Kulaijaya,assault,murder,1/1/2022,1
Malaysia,Johor,Kulaijaya,assault,murder,1/1/2023,2
Malaysia,Johor,Kulaijaya,assault,rape,1/1/2021,9
Malaysia,Johor,Kulaijaya,assault,rape,1/1/2022,13
Malaysia,Johor,Kulaijaya,assault,rape,1/1/2023,8
Malaysia,Johor,Kulaijaya,assault,robbery_gang_armed,1/1/2021,0
Malaysia,Johor,Kulaijaya,assault,robbery_gang_armed,1/1/2022,0
Malaysia,Johor,Kulaijaya,assault,robbery_gang_armed,1/1/2023,0
Malaysia,Johor,Kulaijaya,assault,robbery_gang_unarmed,1/1/2021,29
Malaysia,Johor,Kulaijaya,assault,robbery_gang_unarmed,1/1/2022,31
Malaysia,Johor,Kulaijaya,assault,robbery_gang_unarmed,1/1/2023,43
Malaysia,Johor,Kulaijaya,assault,robbery_solo_armed,1/1/2021,0
Malaysia,Johor,Kulaijaya,assault,robbery_solo_armed,1/1/2022,0
Malaysia,Johor,Kulaijaya,assault,robbery_solo_armed,1/1/2023,0
Malaysia,Johor,Kulaijaya,assault,robbery_solo_unarmed,1/1/2021,5
Malaysia,Johor,Kulaijaya,assault,robbery_solo_unarmed,1/1/2022,13
Malaysia,Johor,Kulaijaya,assault,robbery_solo_unarmed,1/1/2023,8
Malaysia,Johor,Kulaijaya,property,all,1/1/2021,214
Malaysia,Johor,Kulaijaya,property,all,1/1/2022,216
Malaysia,Johor,Kulaijaya,property,all,1/1/2023,211
Malaysia,Johor,Kulaijaya,property,break_in,1/1/2021,46
Malaysia,Johor,Kulaijaya,property,break_in,1/1/2022,46
Malaysia,Johor,Kulaijaya,property,break_in,1/1/2023,61
Malaysia,Johor,Kulaijaya,property,theft_other,1/1/2021,68
Malaysia,Johor,Kulaijaya,property,theft_other,1/1/2022,62
Malaysia,Johor,Kulaijaya,property,theft_other,1/1/2023,58
Malaysia,Johor,Kulaijaya,property,theft_vehicle_lorry,1/1/2021,11
Malaysia,Johor,Kulaijaya,property,theft_vehicle_lorry,1/1/2022,9
Malaysia,Johor,Kulaijaya,property,theft_vehicle_lorry,1/1/2023,8
Malaysia,Johor,Kulaijaya,property,theft_vehicle_motorcar,1/1/2021,28
Malaysia,Johor,Kulaijaya,property,theft_vehicle_motorcar,1/1/2022,28
Malaysia,Johor,Kulaijaya,property,theft_vehicle_motorcar,1/1/2023,26
